Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
Ford,Puma,2.0,Diesel,2007,40491,16746
Toyota,Yaris,1.0,Petrol,1996,199512,1365
Toyota,Corolla,1.8,Hybrid,2011,72675,24856
Ford,Puma,1.4,Diesel,1997,229691,1642
Nissan,Murano,1.4,Diesel,2017,36448,32259
Ford,Focus,1.6,Diesel,2016,59422,24483
Nissan,Murano,1.8,Petrol,1993,213824,1809
Nissan,Altima,2.0,Petrol,1991,155884,2207
Ford,Puma,2.0,Diesel,2000,134760,5413
Ford,Fiesta,1.2,Petrol,2007,130970,4567
Ford,Puma,1.4,Hybrid,2014,30399,27095
Ford,Focus,1.0,Petrol,1988,130466,1710
Nissan,Altima,1.4,Petrol,2002,166135,3530
Ford,Focus,2.0,Diesel,2005,123964,8298
Ford,Fiesta,1.4,Petrol,2020,19841,24878
Ford,Focus,1.8,Petrol,2002,78243,8580
BMW,X3,2.4,Diesel,2002,125490,8523
BMW,X3,3.0,Diesel,2010,124652,16350
Porsche,Cayenne,3.0,Petrol,2018,50187,61125
Nissan,Murano,1.8,Diesel,1992,205342,1916
Ford,Puma,2.0,Hybrid,2018,27180,43066
Toyota,Corolla,2.4,Hybrid,2013,59803,35702
Ford,Puma,1.4,Diesel,1998,117498,4534
Nissan,Altima,1.2,Diesel,2012,94039,11764
Toyota,Yaris,1.0,Hybrid,2003,97095,5995
Nissan,Juke,1.6,Petrol,1992,211863,1098
Nissan,Murano,1.8,Petrol,1996,118661,4901
Nissan,Juke,1.6,Petrol,2011,104716,9434
Ford,Fiesta,1.2,Petrol,2022,6253,28293
Nissan,Murano,1.6,Diesel,2002,187192,4126
Ford,Fiesta,1.0,Petrol,2005,99776,4624
Ford,Puma,1.8,Petrol,2006,105781,9117
BMW,X3,2.4,Diesel,1999,84530,9449
Ford,Puma,1.4,Diesel,1999,158526,3493
Toyota,Corolla,1.8,Petrol,2022,4137,64795
Toyota,Corolla,2.2,Hybrid,1995,103506,7605
Nissan,Murano,2.0,Petrol,2012,71921,21028
Toyota,Yaris,1.4,Hybrid,2009,63802,13318
Nissan,Altima,1.6,Diesel,2002,116794,5891
Nissan,Murano,2.0,Diesel,2012,43514,26483
BMW,X3,3.0,Petrol,2009,88524,19054
Nissan,Altima,2.0,Diesel,1994,143398,3135
Nissan,Murano,1.4,Diesel,2001,92032,7716
Toyota,Matrix,1.0,Hybrid,2014,40115,23690
Ford,Focus,1.6,Petrol,1993,139137,2818
BMW,X3,2.0,Diesel,2018,26649,44204
Toyota,Corolla,2.2,Hybrid,1995,170302,4470
Ford,Puma,2.0,Diesel,1990,87705,3958
Nissan,Murano,1.8,Diesel,2005,86113,11913
Toyota,Matrix,1.4,Hybrid,2014,51487,26145
Ford,Puma,1.4,Diesel,2012,88027,14324
Ford,Focus,1.6,Diesel,1988,135786,2177
Nissan,Juke,2.0,Petrol,1998,134773,3520
Toyota,Matrix,1.0,Hybrid,2006,85392,10348
Ford,Fiesta,1.2,Petrol,2007,106930,5491
Toyota,Yaris,1.0,Hybrid,1993,156259,1941
Ford,Puma,1.8,Diesel,2013,61743,20752
Nissan,Murano,1.6,Diesel,2018,30803,38098
Ford,Focus,1.0,Petrol,1990,205391,1040
Ford,Puma,2.0,Diesel,2013,90947,17925
Ford,Focus,1.0,Diesel,2013,44086,17445
Ford,Puma,1.4,Diesel,2008,119881,8672
Toyota,Corolla,2.4,Hybrid,1992,232612,2208
Porsche,911,2.2,Petrol,2016,54276,66517
Toyota,Matrix,1.8,Hybrid,1995,287524,1192
Nissan,Murano,1.8,Diesel,2012,28620,27428
Porsche,911,3.0,Petrol,1993,182694,6321
BMW,M5,5.0,Petrol,2004,153416,18382
Toyota,Corolla,2.4,Hybrid,2003,94948,14413
Nissan,Juke,1.0,Petrol,1992,128195,1757
Ford,Focus,1.4,Petrol,2004,82585,8391
Nissan,Altima,1.2,Diesel,2014,80403,14799
Toyota,Yaris,1.0,Petrol,2017,16000,21279
Porsche,911,2.6,Petrol,2019,21759,107131
Nissan,Murano,1.8,Diesel,2002,156146,5694
Nissan,Altima,2.0,Petrol,1987,193955,1222
Toyota,Corolla,2.2,Petrol,1997,161610,4579
Nissan,Murano,1.6,Diesel,2010,101854,13998
Ford,Focus,1.4,Diesel,1997,164010,2947
Nissan,Juke,1.4,Petrol,2001,155581,3039
Nissan,Juke,1.0,Petrol,1998,92311,3431
Ford,Fiesta,1.2,Diesel,2008,105624,6223
Nissan,Altima,1.8,Petrol,2007,105108,9069
Ford,Puma,1.8,Diesel,2020,13354,44078
Ford,Puma,1.6,Diesel,2003,166946,4544
Ford,Fiesta,1.2,Petrol,1990,216334,713
BMW,X3,2.4,Petrol,2004,118078,9821
Toyota,Corolla,2.0,Hybrid,2004,117248,11918
Ford,Puma,1.8,Hybrid,1989,255648,983
Ford,Focus,1.4,Diesel,2010,123456,9728
Nissan,Juke,2.0,Petrol,2011,66151,13821
Nissan,Altima,2.0,Hybrid,2021,12663,52752
Ford,Focus,1.0,Diesel,2006,100864,7466
Toyota,Corolla,2.4,Hybrid,1988,187586,2525
Toyota,Matrix,1.8,Hybrid,2006,92459,13205
Ford,Fiesta,1.4,Petrol,1989,275702,417
Nissan,Juke,1.6,Diesel,2011,146893,7135
Ford,Fiesta,1.4,Hybrid,1999,99687,4404
BMW,X3,3.0,Diesel,2005,72406,17129
Nissan,Murano,2.0,Petrol,2002,154382,5800
Ford,Focus,2.0,Petrol,2022,5946,53048
Porsche,Cayenne,2.6,Diesel,2017,43073,58394
Porsche,911,3.0,Petrol,1999,163190,11129
Ford,Focus,1.6,Petrol,2018,29472,31975
Porsche,911,3.5,Petrol,2001,146860,15716
Ford,Puma,1.4,Diesel,2012,73834,15802
Toyota,Yaris,1.4,Hybrid,2018,35091,29003
Nissan,Juke,1.4,Petrol,2002,137255,3770
Nissan,Altima,1.2,Diesel,2009,125879,7586
Toyota,Corolla,2.2,Hybrid,2014,87941,30206
Ford,Focus,1.8,Diesel,2018,37051,34072
Ford,Focus,1.8,Petrol,2009,124997,9711
Ford,Puma,1.6,Diesel,2021,5877,46198
Ford,Puma,2.0,Diesel,1996,185515,2719
Nissan,Altima,1.2,Petrol,1992,194166,1319
Ford,Focus,1.8,Diesel,1994,136607,3423
Ford,Puma,1.6,Diesel,2005,148382,6055
Nissan,Juke,1.2,Diesel,2016,48193,17597
Ford,Fiesta,1.0,Petrol,2006,52805,6807
Nissan,Juke,1.6,Diesel,1994,199130,1474
Toyota,Corolla,2.2,Hybrid,2011,60255,29828
Ford,Focus,1.8,Petrol,1997,228936,1802
Ford,Puma,2.0,Diesel,2020,13171,46508
Ford,Fiesta,1.4,Petrol,2004,129743,4078
Toyota,Corolla,2.0,Hybrid,1997,143129,6098
Toyota,Corolla,2.2,Petrol,1991,241781,1515
Toyota,Matrix,1.0,Hybrid,1991,233213,1128
Ford,Fiesta,1.2,Petrol,2015,53593,13521
Nissan,Altima,1.4,Petrol,2014,70736,16259
Ford,Focus,1.4,Petrol,2004,58394,9865
Nissan,Juke,1.6,Petrol,2012,92641,11012
Nissan,Juke,1.4,Petrol,2000,84113,4916
Nissan,Juke,1.0,Petrol,2009,70077,8333
Ford,Fiesta,1.4,Petrol,1993,159105,1544
Toyota,Matrix,1.4,Hybrid,1998,172090,3650
Nissan,Altima,1.6,Diesel,1997,76111,5666
Nissan,Murano,1.8,Diesel,2003,43556,13785
Nissan,Murano,2.0,Diesel,2020,14738,53224
Nissan,Juke,1.0,Petrol,1998,140489,2378
Nissan,Juke,2.0,Petrol,2016,73471,18369
Toyota,Corolla,2.4,Hybrid,1991,197139,2837
Nissan,Juke,2.0,Petrol,2011,43214,15982
BMW,X3,2.0,Diesel,2014,48455,29752
Nissan,Juke,2.0,Petrol,2005,145539,5148
Nissan,Murano,1.6,Diesel,2008,86526,13679
Porsche,718 Cayman,2.0,Petrol,2012,57602,26962
BMW,X3,3.0,Diesel,1994,272217,1554
Nissan,Altima,1.2,Petrol,2006,44804,10425
Ford,Focus,2.0,Petrol,1991,267387,893
Ford,Puma,2.0,Diesel,2007,135031,8613
Toyota,Matrix,1.0,Hybrid,2014,84415,17761
Ford,Puma,1.8,Diesel,1989,367245,296
Toyota,Matrix,1.0,Hybrid,1990,266127,778
Nissan,Murano,1.4,Diesel,2000,154109,4469
Toyota,Corolla,2.0,Hybrid,1998,178817,4842
Toyota,Yaris,1.4,Petrol,2006,106252,6750
Toyota,Corolla,2.0,Hybrid,2010,87829,22076
BMW,Z4,3.0,Petrol,1988,80939,4719
BMW,M5,4.0,Petrol,1996,208058,6035
Ford,Fiesta,1.4,Petrol,2007,35406,9572
Nissan,Juke,1.0,Petrol,2001,138897,2941
Toyota,Matrix,1.0,Hybrid,2018,34509,31974
Ford,Fiesta,1.2,Petrol,1989,134677,1335
BMW,X3,3.0,Diesel,2013,100597,23946
BMW,Z4,2.4,Petrol,2016,72489,28916
Toyota,Matrix,1.0,Hybrid,1996,98884,4824
Nissan,Juke,1.6,Petrol,2015,56872,17142
BMW,M5,5.0,Petrol,1986,244133,2499
Porsche,718 Cayman,4.0,Petrol,2005,45839,25740
Nissan,Juke,1.2,Petrol,1994,122103,2306
Nissan,Juke,1.4,Petrol,1989,257904,552
Nissan,Altima,1.2,Petrol,1994,251317,900
Nissan,Juke,2.0,Petrol,2012,37934,17634
Nissan,Altima,1.8,Petrol,1999,52241,7647
Nissan,Murano,2.0,Diesel,2006,62686,15733
Ford,Fiesta,1.0,Petrol,2017,21905,17020
Toyota,Matrix,1.0,Hybrid,2008,61161,13926
BMW,X3,2.0,Petrol,2002,132061,7038
Porsche,911,3.0,Petrol,2017,50607,84966
Ford,Focus,1.4,Petrol,2020,20233,35996
Toyota,Yaris,1.4,Hybrid,1994,104543,3686
Nissan,Murano,1.4,Diesel,1994,71171,5592
Ford,Fiesta,1.2,Petrol,2017,45594,16237
Nissan,Juke,1.4,Petrol,2010,49978,12000
Ford,Focus,1.6,Petrol,2011,65804,16026
Nissan,Murano,1.6,Diesel,2003,177636,4789
Nissan,Juke,2.0,Petrol,2000,159893,3279
Nissan,Murano,1.8,Diesel,1990,177260,2142
Nissan,Altima,1.4,Petrol,1996,93066,4194
BMW,M5,4.4,Petrol,2004,60577,34318
Ford,Focus,1.0,Diesel,1986,192967,933
Toyota,Matrix,1.8,Hybrid,2004,147383,7583
Nissan,Murano,1.4,Petrol,2007,127136,8429
Toyota,Matrix,1.4,Hybrid,2002,124200,7037
Ford,Puma,1.8,Petrol,1991,152201,2331
Nissan,Murano,1.4,Petrol,2000,152808,4302
Nissan,Altima,1.4,Petrol,1997,211507,1706
Nissan,Juke,1.6,Petrol,2001,186357,2503
Nissan,Juke,1.6,Petrol,1993,290548,567
Porsche,911,2.6,Petrol,1994,174329,6757
Ford,Fiesta,1.2,Petrol,2013,65670,10947
BMW,X3,2.0,Diesel,1999,229939,2617
Ford,Focus,1.0,Petrol,2014,50990,17019
Nissan,Altima,1.4,Petrol,2008,60807,11635
Nissan,Murano,2.0,Diesel,1992,123217,4012
Porsche,911,3.5,Petrol,1986,67010,10456
Nissan,Murano,1.6,Diesel,2021,7700,52813
Nissan,Juke,1.2,Petrol,1995,159289,1829
Ford,Focus,1.6,Hybrid,2002,37334,12613
Ford,Puma,1.4,Diesel,1988,337649,325
Nissan,Murano,1.4,Petrol,2016,46261,27093
Ford,Focus,1.0,Petrol,2012,81525,12178
BMW,Z4,2.0,Petrol,2008,103724,12418
BMW,X3,3.0,Diesel,2012,79171,26086
Nissan,Murano,2.0,Petrol,1992,216857,1736
Ford,Fiesta,1.0,Petrol,2016,51874,13337
Nissan,Altima,1.6,Petrol,1999,74584,6230
Toyota,Matrix,1.0,Hybrid,1997,132406,3996
Nissan,Altima,1.2,Hybrid,2002,107376,6260
Ford,Puma,2.0,Diesel,1997,201825,2520
Nissan,Murano,1.6,Diesel,2001,90727,8326
Nissan,Murano,1.8,Diesel,2020,23207,48205
Nissan,Juke,2.0,Petrol,1992,116453,2721
Toyota,Corolla,2.0,Petrol,2017,32464,41931
Toyota,Yaris,1.0,Hybrid,2013,63649,14710
Ford,Puma,2.0,Diesel,2001,198372,3392
Nissan,Altima,2.0,Petrol,1992,185503,1836
Nissan,Altima,1.4,Petrol,2014,48684,18743
Nissan,Altima,1.2,Petrol,2020,11411,32067
Ford,Focus,2.0,Diesel,2002,81252,9301
Ford,Focus,2.0,Petrol,1998,169402,3427
BMW,X3,2.0,Petrol,1993,138684,3664
Ford,Puma,2.0,Hybrid,2005,137866,8423
Nissan,Murano,1.4,Diesel,1988,280131,651
BMW,X3,3.0,Diesel,1986,278908,856
Nissan,Altima,1.2,Diesel,2019,24767,29287
Ford,Puma,2.0,Diesel,2013,76132,19877
Ford,Focus,1.4,Petrol,2006,13985,14643
Ford,Focus,1.8,Petrol,2010,73708,15085
Toyota,Corolla,2.4,Hybrid,2019,12326,70440
Nissan,Juke,2.0,Petrol,2016,62208,19794
Toyota,Corolla,1.8,Hybrid,2009,100700,17859
Ford,Fiesta,1.2,Petrol,2011,24043,12349
Ford,Puma,1.8,Diesel,1992,79574,4541
Toyota,Corolla,1.8,Hybrid,1996,124410,6277
Nissan,Altima,1.2,Petrol,2020,22050,30271
BMW,Z4,2.0,Petrol,1997,173445,3419
BMW,X3,2.0,Diesel,1989,137379,2978
Toyota,Matrix,1.8,Hybrid,1985,300551,540
Ford,Fiesta,1.2,Petrol,2013,51491,11991
Ford,Puma,1.6,Hybrid,1992,227498,1467
Ford,Puma,1.8,Diesel,1993,174483,2321
Toyota,Matrix,1.8,Hybrid,2014,23572,34979
Ford,Fiesta,1.0,Petrol,2003,119029,3503
Toyota,Corolla,2.4,Hybrid,2011,41540,35017
Nissan,Juke,2.0,Petrol,2009,97269,9749
Toyota,Yaris,1.2,Hybrid,2019,25200,30382
BMW,M5,5.0,Petrol,2004,90593,29827
Toyota,Matrix,1.4,Hybrid,2018,23945,40192
Nissan,Altima,2.0,Diesel,2018,30129,34310
Toyota,Matrix,1.4,Hybrid,2017,41622,33929
Ford,Focus,1.6,Petrol,2003,74597,8865
Nissan,Altima,1.8,Hybrid,2009,126565,10562
BMW,Z4,2.0,Petrol,1993,153282,3100
Toyota,Matrix,1.8,Hybrid,2018,26499,44923
Ford,Puma,1.8,Petrol,2003,81305,8898
Ford,Fiesta,1.2,Hybrid,1998,118059,3324
Ford,Focus,2.0,Petrol,1991,223799,1334
Ford,Focus,1.4,Petrol,2012,81343,14427
Ford,Focus,2.0,Petrol,2020,23983,42138
Ford,Puma,1.8,Diesel,2020,8813,45147
Ford,Puma,1.4,Diesel,2017,15143,31523
Nissan,Murano,1.8,Petrol,1993,213624,1812
Toyota,Matrix,1.0,Hybrid,1990,212147,1276
Ford,Fiesta,1.2,Petrol,1996,209636,1129
Toyota,Corolla,2.0,Hybrid,2002,111218,10918
Nissan,Murano,1.6,Diesel,2011,100668,15094
Toyota,Yaris,1.2,Hybrid,2011,85136,12191
Nissan,Juke,2.0,Petrol,2003,162231,3927
Toyota,Yaris,1.0,Petrol,2013,57558,12751
Ford,Focus,1.8,Petrol,2003,105659,7540
Nissan,Altima,2.0,Petrol,1985,206824,955
Porsche,Cayenne,3.0,Petrol,2008,133009,17405
Ford,Fiesta,1.4,Petrol,2001,143267,2997
Ford,Fiesta,1.0,Petrol,2002,70362,4652
Ford,Puma,1.8,Diesel,1997,115302,4891
Nissan,Altima,1.8,Petrol,1998,124830,4285
Nissan,Murano,1.8,Petrol,2004,98104,9742
Ford,Fiesta,1.0,Petrol,2013,54673,10729
Nissan,Juke,1.4,Petrol,1987,175606,1010
Nissan,Murano,1.4,Diesel,2002,122140,6592
Toyota,Yaris,1.2,Hybrid,2007,50423,11754
Toyota,Matrix,1.0,Hybrid,2007,52459,13772
Nissan,Murano,1.8,Diesel,1992,135792,3448
BMW,M5,5.0,Petrol,2008,104543,35191
Ford,Puma,2.0,Diesel,2007,137511,8445
Toyota,Corolla,2.4,Petrol,2003,113422,10478
Toyota,Corolla,1.8,Hybrid,2019,33735,54142
Ford,Fiesta,1.2,Petrol,2003,33239,6874
Toyota,Corolla,2.2,Hybrid,2001,137270,8752
Nissan,Juke,1.2,Diesel,2012,88184,10336
Nissan,Murano,1.6,Diesel,2008,151108,8347
Ford,Focus,2.0,Petrol,2012,65543,19186
BMW,Z4,2.0,Petrol,1998,74750,7830
Toyota,Matrix,1.8,Hybrid,2005,104826,11289
Nissan,Murano,1.8,Diesel,2007,82801,13932
Nissan,Murano,2.0,Diesel,2008,87719,15166
Toyota,Matrix,1.8,Hybrid,2020,1811,58582
Ford,Focus,1.4,Diesel,2009,96067,11174
Ford,Fiesta,1.2,Petrol,2011,82674,8538
Toyota,Matrix,1.4,Hybrid,1995,195579,2440
Toyota,Corolla,2.0,Hybrid,2015,65669,35843
Ford,Puma,1.6,Diesel,2012,21335,23345
Nissan,Juke,1.0,Petrol,1996,149491,1934
Nissan,Juke,1.2,Petrol,1994,172626,1529
Toyota,Corolla,2.2,Hybrid,1994,84350,8165
Nissan,Altima,1.8,Petrol,2011,53336,16902
Nissan,Juke,1.2,Petrol,2008,116426,6126
Toyota,Yaris,1.4,Hybrid,2016,25083,26885
Ford,Puma,1.4,Petrol,2021,20818,38004
Nissan,Altima,1.8,Diesel,2000,176184,3378
BMW,X3,2.4,Diesel,1987,326053,522
Ford,Focus,1.8,Diesel,2014,48674,24323
Nissan,Juke,1.6,Petrol,2006,130505,5551
Toyota,Matrix,1.4,Hybrid,2021,14177,51787
Nissan,Murano,1.4,Diesel,1996,207190,2171
Ford,Puma,1.4,Hybrid,1994,113805,4082
Nissan,Juke,1.0,Diesel,1998,108095,3210
BMW,X3,3.0,Diesel,2002,77905,13510
Nissan,Altima,1.6,Petrol,2010,83057,12238
Ford,Fiesta,1.0,Petrol,2012,66537,9295
Nissan,Juke,1.0,Petrol,2010,70614,8876
Nissan,Juke,1.0,Petrol,2000,103196,3622
Nissan,Juke,2.0,Petrol,2007,148549,5741
Toyota,Yaris,1.2,Hybrid,1994,139295,2610
Ford,Fiesta,1.4,Petrol,1997,239217,998
Toyota,Matrix,1.4,Hybrid,2012,61111,21520
Nissan,Juke,1.6,Petrol,2012,74510,12496
Toyota,Matrix,1.8,Hybrid,2014,77806,24944
BMW,X3,2.0,Diesel,2000,111415,7584
Nissan,Altima,1.4,Petrol,1997,235804,1370
Ford,Focus,1.6,Petrol,2006,79572,10466
Ford,Puma,1.8,Hybrid,2003,36036,14279
Toyota,Yaris,1.0,Petrol,2005,36561,8512
Nissan,Juke,2.0,Petrol,2015,65538,18119
Ford,Puma,1.6,Hybrid,2007,90010,12365
Ford,Focus,2.0,Petrol,1993,128212,3435
Nissan,Juke,2.0,Petrol,2019,22575,30717
Ford,Puma,1.4,Diesel,1992,215451,1338
Toyota,Yaris,1.4,Hybrid,2008,70839,11891
Ford,Focus,1.8,Petrol,2012,78470,16686
Nissan,Altima,1.2,Petrol,1990,192072,1176
Nissan,Juke,1.2,Petrol,2017,31044,19848
Nissan,Altima,1.8,Hybrid,2015,38612,28982
Porsche,718 Cayman,2.4,Petrol,2009,81410,20631
Nissan,Juke,1.6,Petrol,2013,32475,17409
Nissan,Juke,1.2,Petrol,2019,34324,22251
Porsche,911,3.0,Petrol,1991,214587,4179
Toyota,Corolla,2.0,Hybrid,1991,255336,1530
Ford,Puma,1.4,Diesel,1992,291906,659
Toyota,Corolla,2.0,Petrol,2015,67457,29518
BMW,Z4,2.0,Petrol,2000,94461,7794
Porsche,718 Cayman,2.0,Petrol,2019,12540,56001
BMW,Z4,2.4,Petrol,2001,95745,9042
Toyota,Matrix,1.4,Hybrid,1999,124566,5745
Nissan,Murano,1.6,Diesel,2011,53219,20868
Nissan,Juke,1.4,Petrol,2001,236873,1492
Toyota,Corolla,2.4,Petrol,1993,225620,2095
Toyota,Corolla,2.4,Hybrid,2002,68314,16218
Nissan,Juke,2.0,Diesel,1999,193341,2420
Porsche,Cayenne,3.5,Diesel,2013,70914,43441
Nissan,Juke,1.0,Petrol,1992,231385,727
Porsche,Cayenne,4.0,Petrol,2007,134588,18568
Toyota,Matrix,1.4,Hybrid,2020,15652,48065
BMW,Z4,2.0,Petrol,1999,143739,4999
Toyota,Yaris,1.2,Petrol,2014,81977,12685
Toyota,Yaris,1.4,Hybrid,2007,92933,9543
Ford,Puma,2.0,Diesel,2015,41645,28348
Nissan,Juke,2.0,Petrol,2007,98097,8481
Toyota,Matrix,1.4,Hybrid,2006,85142,12266
Nissan,Murano,1.4,Diesel,2014,64106,22232
Toyota,Matrix,1.0,Hybrid,1993,201316,1716
BMW,X3,3.0,Petrol,1993,181015,3157
Nissan,Juke,1.2,Petrol,1999,281475,798
Ford,Fiesta,1.2,Petrol,2006,94323,5633
Toyota,Matrix,1.0,Hybrid,1999,127204,4757
Toyota,Matrix,1.8,Hybrid,2009,115660,13588
Nissan,Altima,2.0,Petrol,2007,123547,8312
Nissan,Juke,1.2,Petrol,1990,165863,1240
Nissan,Murano,1.4,Petrol,2007,144797,7324
Ford,Fiesta,1.0,Petrol,1985,186095,609
Porsche,911,2.2,Petrol,2010,39318,48883
Porsche,911,2.2,Petrol,2011,89936,37500
Nissan,Murano,1.8,Diesel,2011,68983,19984
Nissan,Altima,1.6,Petrol,2001,114141,5356
Nissan,Juke,1.2,Petrol,1991,122633,1880
Toyota,Matrix,1.4,Hybrid,1988,306822,548
Ford,Puma,1.8,Hybrid,1989,122598,3100
Toyota,Matrix,1.8,Hybrid,2005,116834,10315
Ford,Fiesta,1.2,Petrol,2001,111230,3564
Toyota,Yaris,1.4,Petrol,2002,182273,2800
Ford,Puma,1.4,Diesel,1999,63371,7121
Nissan,Murano,1.8,Diesel,2003,127482,7665
Toyota,Yaris,1.4,Hybrid,1996,155203,2830
Nissan,Juke,1.4,Petrol,1996,152764,2228
Nissan,Altima,1.6,Diesel,1995,121068,3575
Nissan,Murano,1.8,Diesel,2012,74994,20516
Toyota,Matrix,1.0,Hybrid,2009,35217,17475
Toyota,Yaris,1.2,Petrol,2012,90547,10452
Nissan,Altima,1.6,Petrol,2007,95823,9151
Nissan,Altima,1.4,Hybrid,2005,67184,10964
Nissan,Juke,1.6,Petrol,2013,73399,13458
Ford,Fiesta,1.2,Petrol,1999,218343,1276
Toyota,Matrix,1.8,Hybrid,1999,104280,7598
Nissan,Murano,2.0,Diesel,1994,179134,2901
Ford,Focus,2.0,Diesel,2010,68387,17302
BMW,M5,5.0,Petrol,1993,257978,3506
Nissan,Murano,1.8,Diesel,2011,37718,24336
Toyota,Yaris,1.4,Petrol,2017,15666,25224
Porsche,718 Cayman,4.0,Petrol,2009,97464,23767
Toyota,Corolla,2.2,Hybrid,2010,75151,25280
BMW,Z4,2.4,Petrol,2010,124625,13267
Toyota,Matrix,1.4,Hybrid,2003,191981,4293
Toyota,Matrix,1.0,Hybrid,2016,42429,26695
Toyota,Corolla,2.2,Petrol,2022,3766,71769
Toyota,Corolla,2.4,Hybrid,2015,36005,47251
Ford,Fiesta,1.4,Petrol,2005,9000,9700
Ford,Focus,1.4,Petrol,2017,31532,27651
Nissan,Juke,1.0,Petrol,2018,2701,22584
Ford,Puma,2.0,Diesel,2013,68134,20976
Toyota,Yaris,1.4,Hybrid,2008,95944,9983
Nissan,Murano,1.8,Diesel,1999,123745,6044
Toyota,Corolla,2.0,Hybrid,2004,112821,12325
Ford,Fiesta,1.0,Petrol,2011,58670,9153
Toyota,Matrix,1.8,Hybrid,2009,89071,16523
BMW,M5,4.4,Petrol,1988,306168,1496
Nissan,Altima,1.8,Petrol,2012,93299,13795
Ford,Focus,1.0,Petrol,2004,171053,3565
Nissan,Altima,1.4,Petrol,1992,247321,883
Toyota,Yaris,1.0,Hybrid,1995,155116,2239
Toyota,Corolla,1.8,Hybrid,1989,120384,4060
BMW,M5,4.0,Petrol,2002,220498,8055
Nissan,Murano,1.8,Petrol,2007,24715,19136
Ford,Focus,1.6,Petrol,2003,99593,7433
Toyota,Matrix,1.0,Hybrid,1994,166665,2473
Toyota,Corolla,1.8,Hybrid,2005,109687,12797
Toyota,Corolla,2.2,Hybrid,2012,66347,30641
Ford,Focus,1.4,Diesel,2009,80672,12460
Ford,Fiesta,1.4,Petrol,2018,33892,20106
Nissan,Juke,1.0,Petrol,2000,77566,4347
BMW,Z4,2.4,Petrol,2003,150768,6752
Ford,Focus,2.0,Petrol,1994,200458,2007
Toyota,Corolla,2.4,Hybrid,2019,12644,70321
Toyota,Yaris,1.0,Hybrid,2006,90967,7652
Ford,Puma,1.4,Diesel,2010,86820,12643
Porsche,718 Cayman,2.4,Petrol,1990,161797,3133
Nissan,Juke,1.0,Petrol,1988,294812,308
Nissan,Altima,1.2,Diesel,2000,125692,4169
BMW,M5,4.0,Petrol,2005,36275,40651
Nissan,Juke,1.4,Petrol,2007,154648,4569
Toyota,Matrix,1.8,Hybrid,2006,75295,14886
Toyota,Yaris,1.2,Petrol,2010,88597,9275
BMW,Z4,2.4,Petrol,1996,116736,5543
Porsche,911,3.5,Petrol,2013,69392,62265
Porsche,911,2.2,Petrol,2001,195478,8257
Ford,Puma,1.4,Diesel,2007,86370,10384
BMW,Z4,2.2,Petrol,1998,137203,5169
Toyota,Matrix,1.8,Hybrid,2011,82966,19708
Toyota,Matrix,1.0,Hybrid,1989,289353,585
Toyota,Corolla,2.2,Hybrid,2016,11300,55517
Ford,Puma,1.4,Diesel,1996,143707,3229
Nissan,Altima,1.8,Diesel,1992,147770,2512
Nissan,Murano,1.6,Diesel,2020,25069,44977
BMW,Z4,3.0,Petrol,2010,44995,25859
Ford,Fiesta,1.2,Hybrid,1992,254725,688
Porsche,911,2.6,Petrol,1995,93815,13646
Ford,Fiesta,1.2,Petrol,2012,69435,9988
BMW,M5,4.4,Petrol,2010,82967,44045
Nissan,Altima,1.4,Petrol,2010,40183,15119
Porsche,718 Cayman,4.0,Petrol,2011,94626,27720
Porsche,911,2.6,Petrol,2005,94228,26500
Nissan,Altima,1.8,Hybrid,2007,112215,10319
Nissan,Murano,1.6,Diesel,2005,99928,10173
Toyota,Matrix,1.4,Hybrid,2012,81263,18800
Nissan,Murano,1.8,Petrol,1987,152598,2054
Porsche,718 Cayman,2.4,Petrol,2015,49365,37998
Porsche,718 Cayman,2.0,Petrol,2005,135963,9599
BMW,Z4,2.2,Petrol,2020,8953,52907
Ford,Fiesta,1.4,Petrol,1996,156280,1931
Nissan,Altima,1.2,Petrol,1996,193377,1734
Ford,Puma,1.6,Diesel,2010,97068,12561
Ford,Fiesta,1.0,Petrol,2016,41210,14240
Ford,Fiesta,1.0,Petrol,2000,75275,3939
Nissan,Murano,1.4,Petrol,2003,115101,7083
Toyota,Corolla,2.0,Hybrid,2005,46161,20834
BMW,Z4,2.4,Petrol,1994,145576,3866
BMW,Z4,2.2,Petrol,1989,200386,1666
BMW,M5,4.0,Petrol,1994,145209,9026
Nissan,Murano,2.0,Diesel,1998,100161,7120
Nissan,Altima,1.8,Petrol,1989,266434,686
Nissan,Murano,1.4,Diesel,2010,105124,12782
Ford,Puma,1.6,Petrol,1997,163376,2989
Ford,Puma,1.4,Diesel,1999,175536,3027
Nissan,Murano,2.0,Diesel,2007,86112,14349
BMW,Z4,3.0,Petrol,2005,175641,7006
Nissan,Juke,1.6,Petrol,1995,67069,4228
Ford,Focus,1.6,Petrol,1996,115212,4149
Ford,Fiesta,1.4,Petrol,1990,151623,1345
Toyota,Matrix,1.4,Hybrid,2011,54407,21016
Ford,Puma,1.4,Diesel,1999,159491,3465
Toyota,Corolla,1.8,Hybrid,1985,271261,838
Ford,Puma,1.4,Diesel,2020,9346,39705
BMW,Z4,2.4,Petrol,2015,64881,28456
BMW,Z4,2.4,Petrol,1999,136422,5807
